ID	Sex	BirthYear
RE1592	1	NA
RE4762	1	NA
RE5484	NA	2001
RE4654	NA	2001
RE9103	NA	2001
RE4459	2	2002
RE7248	1	2001
RE8055	1	2001
RE7451	2	2001
RE9238	2	2001
RE2845	1	2001
RE818	1	2001
RE1120	1	2001
RE2489	1	2001
RE9178	1	2001
RE2298	2	2001
RE5727	1	2001
RE8998	2	2001
RE4983	2	2001
RE2626	1	2001
RE3140	1	2001
RE674	1	2001
RE379	1	2001
RE778	1	2001
RE2157	2	2001
RE5516	2	2001
RE1362	2	2001
RE4382	2	2001
RE5073	1	2001
RE234	2	2001
RE6791	1	2001
RE900	1	2001
RE4725	2	2001
RE2829	1	2001
RE699	2	2001
RE8637	2	2001
RE4682	2	2001
RE1330	1	2001
RE1305	2	2001
RE6951	1	2001
RE4172	2	2001
RE4929	2	2001
RE4350	2	2001
RE1334	1	2001
RE3399	2	2001
RE1864	2	2001
RE6877	2	2001
RE2308	1	2001
RE2998	2	2001
RE952	2	2001
RE1841	2	2001
RE9316	1	2001
RE7647	2	2001
RE2312	2	2001
RE7152	2	2001
RE857	2	2001
RE7072	1	2001
RE6058	1	2001
RE4339	1	2001
RE5553	1	2001
RE6030	1	2001
RE6468	2	2001
RE6138	2	2001
RE9301	1	2001
RE6658	2	2001
RE3988	2	2001
RE2225	2	2001
RE981	1	2001
RE2655	1	2001
RE3521	2	2001
RE7918	2	2001
RE5063	2	2001
RE3644	2	2001
RE1650	2	2001
RE5641	2	2001
RE59	2	2001
RE2449	2	2001
RE4911	2	2001
RE8399	1	2001
RE519	1	2001
RE6140	2	2001
RE2642	2	2001
RE8191	2	2001
RE3747	1	NA
RE8653	2	NA
RE4220	1	NA
RE9628	1	NA
RE2316	1	NA
RE908	1	NA
RE4201	1	NA
RE716	1	NA
RE2810	NA	NA
RE2580	1	NA
RE5263	1	NA
RE7341	1	NA
RE1117	1	NA
RE4665	1	NA
RE5754	2	NA
RE4824	2	NA
RE7050	2	NA
RE95	1	NA
RE6680	1	NA
RE6959	2	NA
RE8720	1	NA
RE7815	1	NA
RE4476	1	NA
RE7411	1	NA
RE7497	1	NA
RE6511	2	NA
RE3607	1	NA
RE9052	1	NA
RE1151	1	NA
RE1369	1	NA
RE5016	1	NA
RE515	1	NA
RE6607	1	NA
RE556	1	NA
RE1314	1	NA
RE212	2	NA
RE440	2	NA
RE9449	1	NA
RE4286	2	NA
RE3318	2	NA
RE3122	2	NA
RE7130	2	NA
RE9613	2	NA
RE5700	2	NA
RE6430	2	NA
RE2150	1	NA
RE7264	1	NA
RE7695	1	NA
RE7006	1	NA
RE230	1	NA
RE5321	1	NA
RE4012	1	NA
RE8593	1	NA
RE4990	1	NA
RE2331	2	NA
RE6641	2	NA
RE6610	2	NA
RE7334	2	NA
RE6002	2	NA
RE7746	2	NA
RE7718	2	NA
RE5007	2	NA
RE3538	2	NA
RE5897	1	NA
RE8673	2	NA
RE1567	2	NA
RE5245	2	NA
RE3507	2	NA
RE1709	1	NA
RE2705	1	NA
RE1684	1	NA
RE7571	2	NA
RE4951	2	NA
RE7133	2	NA
RE8648	2	NA
RE8100	2	NA
RE5964	2	NA
RE54	2	NA
RE6120	2	NA
RE499	2	NA
RE6230	2	NA
RE4174	2	NA
RE8229	3	NA
RE1620	3	NA
RE4171	2	NA
RE681	1	1975
RE2125	1	1975
RE9018	1	1976
RE8979	2	1976
RE6235	1	1976
RE616	1	1976
RE6703	1	1976
RE9235	2	1976
RE7370	2	1976
RE7759	2	1976
RE3217	1	1976
RE6419	2	1976
RE5342	1	1976
RE6827	2	1976
RE4601	1	1976
RE8389	2	1976
RE3867	1	1976
RE2605	1	1976
RE7651	1	1976
RE6454	2	1976
RE5767	1	1976
RE813	1	1976
RE4242	1	1976
RE4143	1	1976
RE2948	2	1976
RE8569	2	1976
RE2182	1	1976
RE4808	1	1976
RE1228	2	1976
RE4383	2	1976
RE5512	2	1976
RE949	1	1976
RE1611	2	1976
RE8368	2	1976
RE1281	1	1976
RE5620	1	1976
RE6810	1	1976
RE7399	1	1976
RE8971	2	1976
RE5888	2	1976
RE5664	2	1976
RE406	2	1976
RE865	2	1976
RE7121	1	1976
RE4001	1	1976
RE7364	1	1976
RE5346	2	1976
RE7557	2	1976
RE7313	1	1976
RE8108	2	1976
RE9354	2	1976
RE7198	2	1976
RE1842	2	1976
RE6926	1	1976
RE3126	2	1976
RE7204	2	1976
RE9589	1	1976
RE1978	1	1976
RE3566	2	1976
RE4305	1	1976
RE6382	2	1976
RE3281	2	1976
RE3942	2	1976
RE3647	1	1976
RE6216	1	1976
RE1372	2	1976
RE2404	2	1976
RE5792	1	1976
RE431	1	1976
RE4966	2	1976
RE5195	2	1976
RE5568	1	1976
RE3557	1	1976
RE2578	1	1976
RE4957	1	1976
RE2491	1	1976
RE9079	2	1976
RE1910	1	1976
RE8983	1	1976
RE6947	2	1976
RE1344	2	1976
RE4698	2	1976
RE2624	1	1976
RE4803	1	1976
RE6669	2	1976
RE6052	1	1976
RE4965	2	1976
RE5367	1	1976
RE7986	1	1976
RE1288	2	1976
RE844	2	1976
RE2261	2	1976
RE7108	2	1976
RE2209	1	1976
RE7846	2	1976
RE9577	2	1976
RE8359	1	1976
RE890	2	1976
RE8366	1	1976
RE7627	1	1976
RE5483	1	1976
RE6670	2	1976
RE329	2	1976
RE6881	2	1976
RE5551	1	1977
RE8532	1	1977
RE2512	1	1977
RE3214	2	1977
RE7806	1	1977
RE3431	2	1977
RE6832	2	1977
RE8625	1	1977
RE2415	1	1977
RE8404	1	1977
RE183	1	1977
RE4802	2	1977
RE6908	2	1977
RE5961	1	1977
RE5865	1	1977
RE5605	2	1977
RE4506	1	1977
RE7795	2	1977
RE6197	2	1977
RE665	1	1977
