ANIMAL	FATHER	MOTHER
RE4762	NA	NA
RE3747	NA	NA
RE9628	NA	NA
RE2316	NA	NA
RE5263	NA	NA
RE7341	NA	NA
RE1117	NA	NA
RE4665	NA	NA
RE6680	NA	NA
RE8720	NA	NA
RE7815	NA	NA
RE4476	NA	NA
RE7411	NA	NA
RE3607	NA	NA
RE9052	NA	NA
RE1151	NA	NA
RE515	NA	NA
RE6607	NA	NA
RE556	NA	NA
RE1314	NA	NA
RE9449	NA	NA
RE5700	NA	NA
RE6430	NA	NA
RE2150	NA	NA
RE7695	NA	NA
RE230	NA	NA
RE5321	NA	NA
RE4012	NA	NA
RE8593	NA	NA
RE4990	NA	NA
RE3538	NA	NA
RE1709	NA	NA
RE2705	NA	NA
RE4951	NA	NA
RE4142	NA	NA
RE3756	NA	NA
RE3084	NA	NA
RE3237	NA	NA
RE574	NA	NA
RE9033	NA	NA
RE8627	NA	NA
RE8963	NA	NA
RE8914	NA	NA
RE7781	NA	NA
RE9160	NA	NA
RE7199	NA	NA
RE5355	NA	NA
RE7355	NA	NA
RE2511	NA	NA
RE6244	NA	NA
RE7366	NA	NA
RE4181	NA	NA
RE9276	NA	NA
RE6731	NA	NA
RE5	NA	NA
RE2370	NA	NA
RE318	NA	NA
RE1485	NA	NA
RE5864	NA	NA
RE6114	NA	NA
RE5098	NA	NA
RE1055	NA	NA
RE4528	NA	NA
RE197	NA	NA
RE4877	NA	NA
RE4788	NA	NA
RE3121	NA	NA
RE8421	NA	NA
RE2125	NA	NA
RE6235	NA	NA
RE1978	NA	NA
RE2512	NA	NA
RE8625	NA	NA
RE8404	NA	NA
RE183	NA	NA
RE5865	NA	NA
RE1255	NA	NA
RE547	NA	NA
RE8620	NA	NA
RE6617	NA	NA
RE6667	NA	NA
RE3117	NA	NA
RE4891	NA	NA
RE7250	NA	NA
RE3286	NA	NA
RE207	NA	NA
RE7969	NA	NA
RE7045	NA	NA
RE5542	NA	NA
RE869	NA	NA
RE1349	NA	NA
RE1433	NA	NA
RE804	NA	NA
RE2363	NA	NA
RE7150	NA	NA
RE6519	NA	NA
RE4876	NA	NA
RE2585	NA	NA
RE7525	NA	NA
RE1719	NA	NA
RE2023	NA	NA
RE8325	NA	NA
RE1859	NA	NA
RE1336	NA	NA
RE5795	NA	NA
RE8212	NA	NA
RE6646	NA	NA
RE6466	NA	NA
RE913	NA	NA
RE663	NA	NA
RE1376	NA	NA
RE8103	NA	NA
RE2104	NA	RE869
RE3743	NA	NA
RE121	NA	NA
RE8192	NA	NA
RE1434	NA	NA
RE3826	NA	NA
RE2285	NA	NA
RE5797	NA	NA
RE717	NA	NA
RE5828	NA	NA
RE6167	NA	NA
RE2799	NA	NA
RE9486	NA	NA
RE45	NA	NA
RE9587	NA	NA
RE4679	NA	NA
RE5006	NA	NA
RE1042	NA	NA
RE664	NA	RE6667
RE4045	NA	NA
RE6056	NA	NA
RE3694	NA	NA
RE4548	NA	NA
RE539	NA	NA
RE1134	NA	NA
RE1393	NA	NA
RE8018	NA	NA
RE9068	NA	NA
RE2920	NA	NA
RE6608	NA	NA
RE3094	NA	NA
RE4674	NA	RE913
RE697	NA	NA
RE485	NA	NA
RE816	NA	NA
RE5024	NA	NA
RE4772	NA	NA
RE4864	NA	NA
RE4396	NA	RE1349
RE4436	NA	NA
RE6585	NA	NA
RE3179	NA	NA
RE5461	NA	NA
RE122	NA	NA
RE4594	NA	NA
RE2734	NA	NA
RE4313	NA	RE5542
RE4016	NA	NA
RE1639	NA	NA
RE4418	NA	NA
RE4165	NA	NA
RE7084	NA	NA
RE4643	NA	NA
RE6495	NA	NA
RE5082	NA	NA
RE2859	NA	NA
RE354	NA	NA
RE6408	NA	NA
RE3833	NA	RE7250
RE7345	RE2799	NA
RE3447	NA	NA
RE9342	NA	RE3826
RE3236	NA	NA
RE2525	NA	NA
RE2777	NA	NA
RE385	NA	NA
RE7086	NA	NA
RE9259	NA	NA
RE7272	NA	RE4045
RE7087	NA	NA
RE3240	NA	RE45
RE7188	NA	RE5865
RE6863	NA	RE663
RE9254	NA	NA
RE6364	NA	NA
RE3613	NA	RE8620
RE8636	NA	NA
RE6631	NA	NA
RE7185	NA	NA
RE7524	NA	NA
RE1018	NA	NA
RE7442	NA	NA
RE7030	NA	RE1376
RE7904	NA	RE2734
RE3386	NA	NA
RE6210	NA	NA
RE701	NA	RE664
RE4169	NA	NA
RE1613	NA	RE4643
RE1502	NA	RE6235
RE742	NA	RE816
RE5754	NA	NA
RE7050	NA	NA
RE6959	NA	NA
RE6511	NA	NA
RE3292	NA	RE8625
RE2805	NA	RE869
RE5163	NA	RE869
RE1863	NA	RE4679
RE1685	NA	RE3826
RE961	NA	RE4548
RE4640	NA	RE2512
RE8555	NA	RE5461
RE2159	NA	RE6667
RE8016	NA	RE2859
RE5560	NA	RE7086
RE915	NA	RE3747
RE3309	NA	RE2920
RE1625	NA	RE9628
RE2686	NA	RE1376
RE7097	NA	RE6608
RE3778	NA	RE122
RE4684	NA	NA
RE336	NA	RE6585
RE4630	NA	RE8325
RE2006	NA	RE663
RE4273	NA	RE6056
RE6147	NA	RE816
RE8179	NA	RE2585
RE8215	NA	RE7250
RE6146	NA	RE7525
RE1838	NA	RE547
RE6370	NA	RE9259
RE6452	NA	RE8404
RE1419	NA	RE3447
RE3350	NA	RE4891
RE7663	NA	RE539
RE1146	NA	RE6364
RE2762	NA	RE5024
RE2081	NA	RE2734
RE1191	NA	RE4864
RE1710	NA	RE3117
RE146	NA	RE7150
RE9051	NA	RE8192
RE1017	NA	RE1719
RE941	NA	RE6631
RE200	NA	RE3117
RE3593	NA	RE3179
RE455	NA	RE5795
RE8619	NA	RE2125
RE3257	NA	RE2777
RE7723	NA	RE6646
RE2909	NA	RE1393
RE9372	NA	RE2316
RE3772	NA	RE6235
RE5129	NA	NA
RE700	NA	RE2316
RE2259	NA	RE1433
RE1436	NA	RE2023
RE6312	NA	RE121
RE4198	NA	RE121
RE5591	NA	RE3694
RE4041	NA	RE6519
RE803	NA	RE1255
RE959	NA	RE804
RE7844	NA	NA
RE3957	NA	RE5797
RE3331	NA	RE697
RE2691	NA	RE485
RE481	NA	RE2363
RE2669	NA	RE7442
RE1387	NA	NA
RE8856	NA	NA
RE7947	NA	RE2285
RE2929	NA	RE3236
RE6558	NA	RE6863
RE4568	NA	RE7272
RE7551	NA	NA
RE4343	NA	NA
RE6852	NA	NA
RE3939	NA	RE9486
RE6017	NA	RE6667
RE5185	NA	RE183
RE5040	NA	RE2104
RE1207	NA	RE2104
RE9369	NA	RE6056
RE5998	NA	RE5006
RE3103	NA	RE3826
